cik_str,ticker,title
320193,AAPL,Apple Inc.
789019,MSFT,MICROSOFT CORP
1652044,GOOG,Alphabet Inc.
1018724,AMZN,AMAZON COM INC
1318605,TSLA,"Tesla, Inc."
1326801,FB,"Meta Platforms, Inc."
40545,GE,GENERAL ELECTRIC CO
1067983,BRK-A,BERKSHIRE HATHAWAY INC
1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
19617,JPM,JPMORGAN CHASE & CO
1403161,V,VISA INC.
354950,HD,"HOME DEPOT, INC."
884394,SPY,SPDR S&P 500 ETF TRUST
200406,JNJ,JOHNSON & JOHNSON
731766,UNH,UNITEDHEALTH GROUP INC
824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
104169,WMT,Walmart Inc.
70858,BAC,BANK OF AMERICA CORP /DE/
1577552,BABA,Alibaba Group Holding Ltd
937966,ASML,ASML HOLDING NV
80424,PG,PROCTER & GAMBLE Co
796343,ADBE,ADOBE INC.
1141391,MA,Mastercard Inc
1065280,NFLX,NETFLIX INC
78003,PFE,PFIZER INC
1744489,DIS,Walt Disney Co
1108524,CRM,"SALESFORCE.COM, INC."
320187,NKE,"NIKE, Inc."
34088,XOM,EXXON MOBIL CORP
353278,NVO,NOVO NORDISK A S
1341439,ORCL,ORACLE CORP
1094517,TM,TOYOTA MOTOR CORP/
59478,LLY,ELI LILLY & Co
97745,TMO,THERMO FISHER SCIENTIFIC INC.
1166691,CMCSA,COMCAST CORP
21344,KO,COCA COLA CO
1730168,AVGO,Broadcom Inc.
1467373,ACN,Accenture plc
1633917,PYPL,"PayPal Holdings, Inc."
909832,COST,COSTCO WHOLESALE CORP /NEW
1800,ABT,ABBOTT LABORATORIES
858877,CSCO,"CISCO SYSTEMS, INC."
77476,PEP,PEPSICO INC
313616,DHR,DANAHER CORP /DE/
93410,CVX,CHEVRON CORP
1450488,CHDRY,Christian Dior SE/ADR
732712,VZ,VERIZON COMMUNICATIONS INC
310158,MRK,"Merck & Co., Inc."
804328,QCOM,QUALCOMM INC/DE
1594805,SHOP,SHOPIFY INC.
1551152,ABBV,AbbVie Inc.
72971,WFC,WELLS FARGO & COMPANY/MN
50863,INTC,INTEL CORP
1045810,NVDA,NVIDIA CORP
1436949,HESAY,HERMES INTERNATIONAL S.C.A.
63908,MCD,MCDONALDS CORP
2488,AMD,ADVANCED MICRO DEVICES INC
1114448,NVS,NOVARTIS AG
1090727,UPS,UNITED PARCEL SERVICE INC
895421,MS,MORGAN STANLEY
97476,TXN,TEXAS INSTRUMENTS INC
732717,T,AT&T INC.
