Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DDD,3D Systems Corporation,8.76,$1.04B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd,
MMM,3M Company,170.54,$98.07B,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,8.67,$372.6M,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai,
EGHT,8x8 Inc,20.82,$2.09B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,3.2,$68.68M,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
AOS,A.O Smith Corporation,49.25,$8.03B,,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos,
ATEN,"A10 Networks, Inc.",6.77,$520.06M,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten,
AIR,AAR Corp.,43.76,$1.53B,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",58.15,$3.9B,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
ABB,ABB Ltd,22.09,$47.12B,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,84.26,$149.01B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,88.73,$131.22B,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,17.08,$1.07B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,10.04,$126M,2006.0,,,https://old.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,6.37,$544.05M,2007.0,,,https://old.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,11.28,$147.48M,2011.0,,,https://old.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.87,$105.5M,1992.0,,,https://old.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8.67,$914.52M,2007.0,,,https://old.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,38.39,$2.55B,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,27.67,$2.41B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr,
ACN,Accenture plc,198.02,$125.88B,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,9.4,$911.67M,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",17.5535,$45.3M,2007.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv,
EPAC,Actuant Corporation,24.56,$1.49B,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/epac,
AYI,"Acuity Brands, Inc. ",128.58,$5.1B,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,30.68,$2.31B,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://old.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",16.67,$1.76B,,,,https://old.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",16.6,$490.27M,,,,https://old.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,6.35,$747.9M,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro,
ADNT,Adient plc,20.69,$1.94B,2016.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,8.29,$6.25B,2018.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,34.04,$1.84B,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/atge,
AAP,Advance Auto Parts Inc,163.67,$11.68B,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
WMS,"Advanced Drainage Systems, Inc.",36.78,$2.51B,2014.0,Capital Goods,Containers/Packaging,https://old.nasdaq.com/symbol/wms,
ASIX,AdvanSix Inc.,20.98,$585.6M,2016.0,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/asix,
AVK,Advent Convertible and Income Fund,15.08,$520.64M,2003.0,,,https://old.nasdaq.com/symbol/avk,
ACM,AECOM,42.65,$6.7B,2007.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm,
AEFC,Aegon Funding Company LLC,25.55,,2019.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc,
AEB,Aegon NV,24.32,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb,
AEG,Aegon NV,4.58,$9.27B,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg,
AER,Aercap Holdings N.V.,59.46,$8.01B,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",43.86,$3.45B,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/ajrd,
AMG,"Affiliated Managers Group, Inc.",85.03,$4.19B,,Finance,Investment Managers,https://old.nasdaq.com/symbol/amg,
MGR,"Affiliated Managers Group, Inc.",26.45,,2019.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/mgr,
AFL,Aflac Incorporated,54.39,$39.92B,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl,
MITT,"AG Mortgage Investment Trust, Inc.",15.38,$503.58M,2011.0,,,https://old.nasdaq.com/symbol/mitt,
AGCO,AGCO Corporation,79.41,$6B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco,
A,"Agilent Technologies, Inc.",77.94,$24.12B,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
AEM,Agnico Eagle Mines Limited,59.31,$14.21B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem,
ADC,Agree Realty Corporation,74.9,$3.18B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc,
AL,Air Lease Corporation,44.76,$5B,2011.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/al,
APD,"Air Products and Chemicals, Inc.",241.19,$53.15B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd,
ALG,"Alamo Group, Inc.",112.04,$1.32B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg,
AGI,Alamos Gold Inc.,5.43,$2.12B,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi,
ALK,"Alaska Air Group, Inc.",70.06,$8.63B,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk,
AIN,Albany International Corporation,83.74,$2.7B,,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain,
ALB,Albemarle Corporation,67.1,$7.11B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb,
AA,Alcoa Corporation,20.76,$3.85B,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa,
ALC,Alcon Inc.,58.98,$28.82B,2019.0,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc,
ALEX,"Alexander & Baldwin, Inc.",22.25,$1.61B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex,
ALX,"Alexander&#39;s, Inc.",325.08,$1.66B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx,
ARE,"Alexandria Real Estate Equities, Inc.",159.49,$18.37B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are,
AQN,Algonquin Power & Utilities Corp.,13.92,$6.91B,2016.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn,
AQNA,Algonquin Power & Utilities Corp.,27.95,,2018.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna,
AQNB,Algonquin Power & Utilities Corp.,27.85,,2019.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb,
BABA,Alibaba Group Holding Limited,184.61,$480.65B,2014.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba,
Y,Alleghany Corporation,783.25,$11.27B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y,
ATI,Allegheny Technologies Incorporated,23.58,$2.97B,,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati,
ALLE,Allegion plc,118.41,$11B,2013.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle,
ALE,"Allete, Inc.",79.99,$4.13B,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale,
ADS,Alliance Data Systems Corporation,104.8,$4.83B,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads,
AFB,Alliance National Municipal Income Fund Inc,13.72,$394.38M,2002.0,,,https://old.nasdaq.com/symbol/afb,
AWF,Alliance World Dollar Government Fund II,12.02,$1.04B,1993.0,,,https://old.nasdaq.com/symbol/awf,
AB,AllianceBernstein Holding L.P.,29.45,$2.82B,,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab,
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,20.22,,2019.0,,,https://old.nasdaq.com/symbol/aio,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.73,$177.64M,2017.0,,,https://old.nasdaq.com/symbol/cbh,
NCV,AllianzGI Convertible & Income Fund,5.64,$507.65M,2003.0,,,https://old.nasdaq.com/symbol/ncv,
NCZ,AllianzGI Convertible & Income Fund II,4.99,$378.88M,2003.0,,,https://old.nasdaq.com/symbol/ncz,
ACV,AllianzGI Diversified Income & Convertible Fund,24.89,$257.1M,2015.0,,,https://old.nasdaq.com/symbol/acv,
NIE,AllianzGI Equity & Convertible Income Fund,22.47,$622.62M,2007.0,,,https://old.nasdaq.com/symbol/nie,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.7,$1.2B,2005.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj,
ALSN,"Allison Transmission Holdings, Inc.",45.87,$5.47B,2012.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn,
ALL,Allstate Corporation (The),111.51,$36.12B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all,
ALLY,Ally Financial Inc.,30.68,$11.66B,2014.0,Finance,Major Banks,https://old.nasdaq.com/symbol/ally,
AYX,"Alteryx, Inc.",98.43,$6.41B,2017.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx,
ATUS,"Altice USA, Inc.",27.07,$17.53B,2017.0,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus,
MO,Altria Group,48.34,$90.31B,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo,
ACH,Aluminum Corporation of China Limited,7.94,$5.41B,2001.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach,
ABEV,Ambev S.A.,4.13,$64.97B,2013.0,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev,
AMC,"AMC Entertainment Holdings, Inc.",8.47,$879.61M,2013.0,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc,
AMCR,Amcor plc,10.02,$16.23B,2019.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr,
AEE,Ameren Corporation,75.73,$18.63B,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee,
AMRC,"Ameresco, Inc.",16.11,$757.7M,2010.0,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/amrc,
AMOV,"America Movil, S.A.B. de C.V.",15.82,$52.21B,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov,
AMX,"America Movil, S.A.B. de C.V.",15.61,$51.52B,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amx,
AAT,"American Assets Trust, Inc.",46.96,$2.82B,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat,
AXL,"American Axle & Manufacturing Holdings, Inc.",9.73,$1.09B,,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/axl,
ACC,American Campus Communities Inc,47.46,$6.52B,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc,
AEO,"American Eagle Outfitters, Inc.",15.76,$2.66B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo,
AEP,"American Electric Power Company, Inc.",90.15,$44.53B,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep,
AEL,American Equity Investment Life Holding Company,28.48,$2.59B,2003.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael,
AXP,American Express Company,119.66,$97.91B,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/axp,
AFG,"American Financial Group, Inc.",108.0,$9.74B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg,
AFGB,"American Financial Group, Inc.",26.87,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb,
AFGE,"American Financial Group, Inc.",25.59,,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afge,
AFGH,"American Financial Group, Inc.",26.08,,2015.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh,
AMH,American Homes 4 Rent,26.46,$7.96B,2013.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amh,
AIG,"American International Group, Inc.",54.15,$47.11B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/aig,
ARL,"American Realty Investors, Inc.",14.0,$223.96M,,Finance,Real Estate,https://old.nasdaq.com/symbol/arl,
ARA,"American Renal Associates Holdings, Inc",8.92,$290.87M,2016.0,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/ara,
AWR,American States Water Company,84.81,$3.12B,,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awr,
AMT,American Tower Corporation (REIT),214.33,$94.94B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/amt,
AVD,American Vanguard Corporation,14.6,$440.73M,,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/avd,
AWK,American Water Works,118.68,$21.45B,2008.0,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/awk,
COLD,Americold Realty Trust,37.76,$7.24B,2018.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold,
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",158.26,$20.05B,,Finance,Investment Managers,https://old.nasdaq.com/symbol/amp,
ABC,AmerisourceBergen Corporation (Holding Co),87.77,$18.28B,,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc,
AMN,AMN Healthcare Services Inc,59.97,$2.8B,,Technology,Professional Services,https://old.nasdaq.com/symbol/amn,
AMRX,"Amneal Pharmaceuticals, Inc.",2.83,$846.45M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrx,
AP,Ampco-Pittsburgh Corporation,3.65,$46.14M,,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ap,
APH,Amphenol Corporation,102.45,$30.38B,,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aph,
AXR,AMREP Corporation,5.7012,$46.39M,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/axr,
HKIB,AMTD International Inc.,7.82,$1.8B,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/hkib,
AME,"AMTEK, Inc.",97.36,$22.26B,,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/ame,
PLAN,"Anaplan, Inc.",46.95,$6.19B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/plan,
FINS,Angel Oak Financial Strategies Income Term Trust,20.61,$237.41M,2019.0,,,https://old.nasdaq.com/symbol/fins,
AU,AngloGold Ashanti Limited,19.84,$8.23B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/au,
BUD,Anheuser-Busch Inbev SA,80.05,$156.85B,,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/bud,
NLY,Annaly Capital Management Inc,9.21,$13.17B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/nly,
AM,Antero Midstream Corporation,5.01,$2.52B,2017.0,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/am,
AR,Antero Resources Corporation,2.03,$617.67M,2013.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ar,
ANTM,"Anthem, Inc.",294.0,$74.55B,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/antm,
ANH,Anworth Mortgage Asset  Corporation,3.39,$335.09M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/anh,
AON,Aon plc,197.9,$46.34B,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/aon,
APA,Apache Corporation,22.98,$8.64B,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/apa,
AIV,Apartment Investment and Management Company,54.6,$8.13B,1994.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiv,
APHA,Aphria Inc.,3.82,$960.95M,2018.0,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/apha,
ARI,Apollo Commercial Real Estate Finance,17.99,$2.76B,2009.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ari,
APO,"Apollo Global Management, Inc",43.7,$17.6B,2011.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/apo,
AFT,Apollo Senior Floating Rate Fund Inc.,14.71,$229.08M,2011.0,,,https://old.nasdaq.com/symbol/aft,
AIF,Apollo Tactical Income Fund Inc.,14.79,$213.92M,2013.0,,,https://old.nasdaq.com/symbol/aif,
APLE,"Apple Hospitality REIT, Inc.",16.14,$3.61B,2015.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aple,
AIT,"Applied Industrial Technologies, Inc.",61.76,$2.39B,,Consumer Durables,Industrial Specialties,https://old.nasdaq.com/symbol/ait,
ATR,"AptarGroup, Inc.",110.34,$7.05B,,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/atr,
APTV,Aptiv PLC,92.32,$23.57B,2011.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/aptv,
WTRU,"Aqua America, Inc.",58.72,,2019.0,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/wtru,
ARMK,Aramark,43.94,$10.85B,2013.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/armk,
ABR,Arbor Realty Trust,15.06,$1.47B,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr,
ARC,"ARC Document Solutions, Inc.",1.24,$56.9M,2004.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/arc,
MT,ArcelorMittal,16.25,$16.45B,,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/mt,
ARCH,"Arch Coal, Inc.",75.39,$1.13B,2016.0,Energy,Coal Mining,https://old.nasdaq.com/symbol/arch,
ADM,Archer-Daniels-Midland Company,42.84,$23.85B,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm,
AROC,"Archrock, Inc.",8.52,$1.29B,,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/aroc,
ARNC,Arconic Inc.,31.06,$13.45B,,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/arnc,
ARCO,Arcos Dorados Holdings Inc.,7.69,$1.57B,2011.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/arco,
ACA,"Arcosa, Inc.",38.28,$1.85B,2018.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca,
RCUS,"Arcus Biosciences, Inc.",7.33,$336.15M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rcus,
ARD,Ardagh Group S.A.,18.94,$4.48B,2017.0,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/ard,
ASC,Ardmore Shipping Corporation,8.04,$266.11M,2013.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/asc,
AFC,Ares Capital Corporation,25.85,$206.8M,,,,https://old.nasdaq.com/symbol/afc,
ACRE,Ares Commercial Real Estate Corporation,15.39,$444.29M,2012.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre,
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",14.78,$338.68M,2012.0,,,https://old.nasdaq.com/symbol/ardc,
ARES,Ares Management Corporation,32.33,$7.48B,2014.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/ares,
AGX,"Argan, Inc.",39.35,$615.17M,,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx,
ARGD,"Argo Group International Holdings, Ltd.",25.912,,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argd,
ARGO,"Argo Group International Holdings, Ltd.",61.95,$2.13B,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/argo,
ANET,"Arista Networks, Inc.",193.02,$14.75B,2014.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/anet,
AIC,Arlington Asset Investment Corp,23.8507,,2015.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aic,
AIW,Arlington Asset Investment Corp,24.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aiw,
ARLO,"Arlo Technologies, Inc.",2.79,$211.23M,2018.0,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/arlo,
AHH,"Armada Hoffler Properties, Inc.",17.71,$1.36B,2013.0,Finance,Real Estate,https://old.nasdaq.com/symbol/ahh,
ARR,"ARMOUR Residential REIT, Inc.",16.95,$998.18M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/arr,
AFI,"Armstrong Flooring, Inc.",3.73,$80.2M,2016.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi,
AWI,Armstrong World Industries Inc,98.49,$4.78B,,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/awi,
ARW,"Arrow Electronics, Inc.",79.45,$6.47B,,Technology,Electronic Components,https://old.nasdaq.com/symbol/arw,
AJG,Arthur J. Gallagher & Co.,91.78,$17.12B,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/ajg,
APAM,Artisan Partners Asset Management Inc.,27.86,$2.17B,2013.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/apam,
ASA,ASA Gold and Precious Metals Limited,12.21,$235.53M,,,,https://old.nasdaq.com/symbol/asa,
ABG,Asbury Automotive Group Inc,110.35,$2.13B,2002.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg,
ASX,"ASE Technology Holding Co., Ltd.",5.16,$10.97B,2018.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/asx,
ASGN,ASGN Incorporated,66.53,$3.52B,1992.0,Technology,Professional Services,https://old.nasdaq.com/symbol/asgn,
AHT,Ashford Hospitality Trust Inc,2.69,$274.67M,2003.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aht,
ASH,Ashland Global Holdings Inc.,78.65,$4.76B,,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/ash,
ASPN,"Aspen Aerogels, Inc.",7.19,$174.72M,2014.0,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/aspn,
AMK,"AssetMark Financial Holdings, Inc.",24.82,$1.8B,2019.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/amk,
ASB,Associated Banc-Corp,21.53,$3.43B,,Finance,Major Banks,https://old.nasdaq.com/symbol/asb,
AC,"Associated Capital Group, Inc.",35.46,$798.4M,2015.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac,
AIZ,"Assurant, Inc.",132.67,$8.04B,2004.0,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/aiz,
AIZP,"Assurant, Inc.",130.76,$375.94M,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/aizp,
AGO,Assured Guaranty Ltd.,48.69,$4.7B,2004.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago,
